brand,name,reviews_rating_number,review_amount,old_price,old_price_cents,new_price,new_price_cents
FILA,Tênis De Corrida Fila Maxximus Masculino Original Macio Leve,,,499,99,48,47
ASICS,Tênis Asics Gel-kambarah - Masculino,,,549,99,55,99
FILA,Tênis Running Masculino Fila Maxximus Branco E Laranja,,,617,53,518,73
OLYMPIKUS,Tênis Esportivo Olympikus Ritmo Treino Caminhada Corrida,,,279,99,27,15
,Tênis Masculino Esportivo Conforto Academia Corrida Nl484,,,49,90,16,63
UNDER ARMOUR,Tênis Under Armour Ch Slight 3 Corrida Envio Já - Masculino,,,399,99,38,78
NEW BALANCE,Tênis New Balance Corrida Trilha Ultra Macio - Masculino,,,699,99,70,99
,Tênis Masculino Advanced Speed Academia Corrida Confortável,,,159,90,143,91
UNDER ARMOUR,Tênis Under Armour Charged Wing Se Masculino Preto,,,329,90,32,90
ON RUNNING,Tenis On Running Cloudmonster 2 Masculino,,,1.249,48,1.149,48
OLYMPIKUS,Tênis Dia Dia Masculino Esportivo Corrida Olympikus Veloz 3,,,299,90,33,32
OLYMPIKUS,Tênis Masculino Olympikus Inverse Original Envio Já,,,349,99,297,49
NEW BALANCE,Tênis New Balance 500v2 Masculino Preto Branco,,,389,90,370,40
NEW BALANCE,Tenis Nb Fresh Foam Arishiv4 Branco/preto/vermelho Claro,,,459,99,46,99
,Tênis Masculino Leve Para Caminhada Corrida Treino Academia,,,62,90,6,11
OLYMPIKUS,Tênis Olympikus Veloz 3 Masculino Tecido Respiravel Flexivel,,,299,99,260,99
,Kit 3 Tênis Masculino Meia Calce Fácil Confort Leve Original,,,175,,35,
FILA,Tenis Fila Float Maxxi 2 Pro Masculino-preto/grafite,,,998,73,96,83
STREET WALKER,Tênis Masculino Caminhada Academia Treino Leve Confortável,,,49,99,47,49
NEW BALANCE,Tênis New Balance 500v2 Preto Branco Masculino ,,,379,90,360,90
OLYMPIKUS,Tênis Olympikus Masculino Volcan 2 Esportivo 43538342,,,199,99,19,44
OLYMPIKUS,Tenis Olympikus Masculino Orbita Corrida Academia Esportivo,,,259,99,228,79
FILA,Tênis Fila Racer Comet Preto Cinza Azul Masculino ,,,329,90,313,40
FILA,Tênis Fila Maxximus Corrida Caminhada Confortável Masculino,,,499,99,50,99
UNDER ARMOUR,Tênis Under Armour Ch Slight 3 Masculino Estiloso Versátil,,,399,99,40,99
FILA,Tênis Running Masculino Fila Improve Preto E Cinza,,,493,99,365,55
,Kit Tenis E Relogio Masculino Treino Sport Corrida Run,,,99,99,33,33
,Kit Tenis E Relogio Masculino Treino Run Sport Corrida,,,99,99,33,33
,Kit Tenis E Relogio Masculino Treino Sport Run Corrida,,,99,99,33,33
QIX,Tênis Qix Db 3 - 204006,,,185,91,30,98
,Tênis Masculino Advanced Racing Academia Extra Leve Macia,,,99,90,9,71
,Tenis Masculino Calce Fácil Leve Flexível Confortável Treino,,,89,99,30,99
,Tênis Masculino Leve Resistente Confortável E Sofisticado,,,119,90,83,93
,Tênis Masculino Advanced Race Corrida Extra Leve Confortável,,,99,90,94,90
PUMA,Tênis Puma Homem Mulher Original Treino Macio 34 A 43 Barato,,,333,33,129,99
,Tênis Masculino Esportivo Academia Corrida Anti Impacto,,,78,90,66,27
ASICS,Tênis Masculino Asics Gel Carbono Original Couro Corrida,,,513,90,154,17
,Tênis Masculino Advanced Racing Sport Calçado Confortavel,,,99,90,92,90
,Tênis Masculino Advanced Racing Extra Leve Confortável Macio,,,99,90,92,90
,Tênis Masculino Advanced Racing Academia Extra Leve Macia,,,99,90,92,90
OLYMPIKUS,Tênis Olympikus Subverse Atlantico Azul Marinho - Masculino,,,349,99,35,99
,Tenis Casual Masculino Treino Sport Corrida Run Estiloso,,,84,99,28,33
FILA,Tênis Running Masculino Fila Fulltime Preto,,,345,75,290,43
WAVE,Kit 3 Tênis Esportivo Wave Creation 20 Academia Caminhada Or,,,219,91,31,42
ABUZZE,Tênis Masculino Abuzze Run Original,,,99,90,33,30
,Tênis Masculino Advanced Speed Corrida Esportivo Sola Leve,,,109,90,65,94
NEW BALANCE,Tênis New Balance Masculino Fuelcell Supercomp Trainer V3,,,2.400,05,1.440,05
,Tenis Masculino Treino Skate Racer Sport Corrida Sapato,,,78,99,26,33
,Tenis Masculino Treino Skate Sport Corrida Sapato Run,,,78,99,26,33
MIZUNO,Tênis Mizuno Oracle - Branco,,,449,99,45,99
ASICS,Tenis Asics Gel Excite 10 Masculino,,,459,90,45,99
SIX STREET,Tênis Masculino Leve Esportivo Caminhada Promoção Six Street,,,229,90,188,51
LORENZZO LOPEZ,Tenis Masculino Esporte Caminhada Super Macio Leve Promoção,,,64,90,21,63
ABUZZE,Tênis Masculino De Corrida Abuzze Original Confortavel Macio,,,99,99,33,33
LORENZZO LOPEZ,Tenis Masculino Academia Esporte Caminhada Casual Promoção,,,64,90,21,63
FILA,Tênis Casual Masculino Fila Renno Classic,,,370,46,274,14
FILA,Tênis Casual Masculino Fila Renno Classic,,,370,46,314,89
FILA,Tênis Running Masculino Running Fila Progress Lite Preto,,,370,46,314,89
